id,name,country,description,founded,industry,numberOfEmployees
1,Ferrell LLC,Papua New Guinea,Horizontal empowering knowledgebase,1990,Plastics,3498
2,"Mckinney, Riley and Day",Finland,User-centric system-worthy leverage,2015,Glass / Ceramics / Concrete,4952
3,Hester Ltd,China,Switchable scalable moratorium,1971,Public Safety,5287
4,Holder-Sellers,Turkmenistan,De-engineered systemic artificial intelligence,2004,Automotive,921
5,Mayer Group,Mauritius,Synchronized needs-based challenge,1991,Transportation,7870
6,Henry-Thompson,Bahamas,Face-to-face well-modulated customer loyalty,1992,Primary / Secondary Education,4914
7,Hansen-Everett,Pakistan,Seamless disintermediate collaboration,2018,Publishing Industry,7832
8,Mcintosh-Mora,Heard Island and McDonald Islands,Centralized attitude-oriented capability,1970,Import / Export,4389
9,Carr Inc,Kuwait,Distributed impactful customer loyalty,1996,Plastics,8167
10,Gaines Inc,Uzbekistan,Multi-lateral scalable protocol,1997,Outsourcing / Offshoring,9698
11,Kidd Group,Bouvet Island (Bouvetoya),Proactive foreground paradigm,2001,Primary / Secondary Education,7473
12,Crane-Clarke,Denmark,Front-line clear-thinking encryption,2014,Food / Beverages,9011
13,"Keller, Campos and Black",Liberia,Ameliorated directional emulation,2020,Museums / Institutions,2862
14,Glover-Pope,United Arab Emirates,Persevering contextually-based approach,2013,Medical Practice,9079
15,Pacheco-Spears,Sweden,Secured logistical synergy,1984,Maritime,769
16,Hodge-Ayers,Honduras,Future-proofed radical implementation,1990,Facilities Services,8508
17,"Bowers, Guerra and Krause",Uganda,De-engineered transitional strategy,1972,Primary / Secondary Education,6986
18,Mckenzie-Melton,Hong Kong,Reverse-engineered heuristic alliance,1998,Investment Management / Hedge Fund / Private Equity,4589
19,Branch-Mann,Botswana,Adaptive intangible frame,1999,Architecture / Planning,7961
20,Weiss and Sons,Korea,Sharable optimal functionalities,2011,Plastics,5984
21,"Velez, Payne and Coffey",Luxembourg,Mandatory coherent synergy,1986,Wholesale,5010
22,Harrell LLC,Guadeloupe,Reverse-engineered mission-critical moratorium,2018,Construction,2185
23,"Eaton, Reynolds and Vargas",Monaco,Self-enabling multi-tasking process improvement,2014,Luxury Goods / Jewelry,8987
